,ORCA-Fusion-BT,ORCA-Fusion,ORCA_Flash4.0,Kinetix,iXon897Life,Panda4.2
454,0.764878049,0.764878049,0.729585687,0.839288728,0.827827751,0.915372069
455,0.764878049,0.764878049,0.732878217,0.841681736,0.832583732,0.917278287
456,0.765234843,0.765234843,0.736170747,0.842676311,0.834985646,0.919184506
457,0.76798885,0.76798885,0.739463277,0.844659433,0.837421053,0.921090724
458,0.768780488,0.768780488,0.742755807,0.846292948,0.841023923,0.922996942
459,0.768780488,0.768780488,0.746048336,0.847637131,0.844626794,0.923547401
460,0.768780488,0.768780488,0.749340866,0.849909584,0.848229665,0.923751274
461,0.7712,0.7712,0.752633396,0.850614828,0.851832536,0.925657492
462,0.772682927,0.772682927,0.755178908,0.853007836,0.855435407,0.92756371
463,0.772682927,0.772682927,0.757335217,0.855400844,0.858851675,0.929469929
464,0.772682927,0.772682927,0.760627746,0.857793852,0.858851675,0.931376147
465,0.77441115,0.77441115,0.763920276,0.86018686,0.859210526,0.932721713
466,0.776585366,0.776585366,0.767212806,0.862567812,0.865215311,0.932721713
467,0.776585366,0.776585366,0.770244821,0.863164557,0.871057416,0.932721713
468,0.776585366,0.776585366,0.771914626,0.865557565,0.874660287,0.932721713
469,0.776585366,0.776585366,0.775207156,0.867950573,0.878263158,0.932721713
470,0.776585366,0.776585366,0.778499686,0.868535262,0.881866029,0.932721713
471,0.776585366,0.776585366,0.779908977,0.87092827,0.885368421,0.932721713
472,0.778079443,0.778079443,0.783201507,0.871609403,0.887770335,0.934393476
473,0.780487805,0.780487805,0.786494036,0.873905967,0.890282297,0.935779817
474,0.780487805,0.780487805,0.789077213,0.87522604,0.893885167,0.935779817
475,0.780487805,0.780487805,0.791195857,0.876883665,0.897368421,0.935779817
476,0.780487805,0.780487805,0.794488387,0.877468354,0.899770335,0.935779817
477,0.780487805,0.780487805,0.796610169,0.879861362,0.902301435,0.935779817
478,0.780487805,0.780487805,0.799190207,0.880650995,0.905904306,0.936656473
479,0.781747735,0.781747735,0.802482737,0.882459313,0.909368421,0.938562691
480,0.784390244,0.784390244,0.804143126,0.883423749,0.911770335,0.93883792
481,0.784390244,0.784390244,0.807184557,0.885816757,0.914023923,0.93883792
482,0.784390244,0.784390244,0.810477087,0.886401447,0.91522488,0.93883792
